package,dependency,type
RProtoBuf,apt-get install -y libprotobuf-dev,apt-get
RProtoBuf,apt-get install -y protobuf-compiler,apt-get
spsurv,apt-get install -y make,apt-get
tsmp,apt-get install -y make,apt-get
ISEtools,apt-get install -y jags,apt-get
iMRMC,apt-get install -y default-jdk,apt-get
iMRMC,R CMD javareconf,R CMD
oceanmap,apt-get install -y imagemagick,apt-get
oceanmap,apt-get install -y libmagick++-dev,apt-get
meltt,apt-get install -y python,apt-get
irace,apt-get install -y make,apt-get
MetaStan,apt-get install -y make,apt-get
rscala,apt-get install -y default-jdk,apt-get
rscala,R CMD javareconf,R CMD
RCurl,apt-get install -y make,apt-get
RCurl,apt-get install -y libcurl4-openssl-dev,apt-get
moveVis,apt-get install -y imagemagick,apt-get
moveVis,apt-get install -y libmagick++-dev,apt-get
topicmodels,apt-get install -y libgsl0-dev,apt-get
gMCP,apt-get install -y default-jdk,apt-get
gMCP,R CMD javareconf,R CMD
conflr,apt-get install -y pandoc,apt-get
SimJoint,apt-get install -y make,apt-get
RQuantLib,apt-get install -y libquantlib0-dev,apt-get
reproj,apt-get install -y libproj-dev,apt-get
RcppAlgos,apt-get install -y libgmp3-dev,apt-get
metagear,apt-get install -y tcl,apt-get
metagear,apt-get install -y tk,apt-get
metagear,apt-get install -y tk-dev,apt-get
switchr,apt-get install -y git,apt-get
rsubgroup,apt-get install -y default-jdk,apt-get
rsubgroup,R CMD javareconf,R CMD
patternplot,apt-get install -y make,apt-get
xml2,apt-get install -y libxml2-dev,apt-get
rtika,apt-get install -y default-jdk,apt-get
rtika,R CMD javareconf,R CMD
arulesNBMiner,apt-get install -y default-jdk,apt-get
arulesNBMiner,R CMD javareconf,R CMD
flan,apt-get install -y libgsl0-dev,apt-get
prophet,apt-get install -y make,apt-get
osmose,apt-get install -y default-jdk,apt-get
osmose,R CMD javareconf,R CMD
R2jags,apt-get install -y jags,apt-get
bcTSNE,apt-get install -y make,apt-get
workflowr,apt-get install -y pandoc,apt-get
Boom,apt-get install -y make,apt-get
RSCABS,apt-get install -y libatk1.0-dev,apt-get
RSCABS,apt-get install -y libcairo2-dev,apt-get
RSCABS,apt-get install -y libglib2.0-dev,apt-get
RSCABS,apt-get install -y libgtk2.0-dev,apt-get
RSCABS,apt-get install -y libpango1.0-dev,apt-get
dodgr,apt-get install -y make,apt-get
rviewgraph,apt-get install -y default-jdk,apt-get
rviewgraph,R CMD javareconf,R CMD
OncoBayes2,apt-get install -y make,apt-get
OncoBayes2,apt-get install -y pandoc-citeproc,apt-get
OncoBayes2,apt-get install -y pandoc,apt-get
SIBER,apt-get install -y jags,apt-get
uFTIR,apt-get install -y libgdal-dev,apt-get
uFTIR,apt-get install -y gdal-bin,apt-get
uFTIR,apt-get install -y libproj-dev,apt-get
imager,apt-get install -y libfftw3-dev,apt-get
imager,apt-get install -y libtiff-dev,apt-get
concaveman,apt-get install -y libgdal-dev,apt-get
concaveman,apt-get install -y gdal-bin,apt-get
concaveman,apt-get install -y libgeos-dev,apt-get
concaveman,apt-get install -y libproj-dev,apt-get
RODBC,apt-get install -y unixodbc-dev,apt-get
ClusterR,apt-get install -y libfftw3-dev,apt-get
ProcData,apt-get install -y python,apt-get
xslt,apt-get install -y libxslt-dev,apt-get
blastula,apt-get install -y pandoc,apt-get
rsvg,apt-get install -y librsvg2-dev,apt-get
caracas,apt-get install -y python,apt-get
pdftools,apt-get install -y libpoppler-cpp-dev,apt-get
glmulti,apt-get install -y default-jdk,apt-get
glmulti,R CMD javareconf,R CMD
nucim,apt-get install -y libfftw3-dev,apt-get
nucim,apt-get install -y libcurl4-openssl-dev,apt-get
nucim,apt-get install -y libtiff-dev,apt-get
nucim,apt-get install -y libssl-dev,apt-get
seewave,apt-get install -y libsndfile1-dev,apt-get
DCPO,apt-get install -y make,apt-get
mrbayes,apt-get install -y make,apt-get
bioimagetools,apt-get install -y libfftw3-dev,apt-get
bioimagetools,apt-get install -y libcurl4-openssl-dev,apt-get
bioimagetools,apt-get install -y libtiff-dev,apt-get
bioimagetools,apt-get install -y libssl-dev,apt-get
RBesT,apt-get install -y make,apt-get
RBesT,apt-get install -y pandoc-citeproc,apt-get
RBesT,apt-get install -y pandoc,apt-get
mfbvar,apt-get install -y make,apt-get
CausalQueries,apt-get install -y make,apt-get
pivmet,apt-get install -y pandoc-citeproc,apt-get
pivmet,apt-get install -y pandoc,apt-get
haven,apt-get install -y make,apt-get
grf,apt-get install -y make,apt-get
bacistool,apt-get install -y jags,apt-get
jdx,apt-get install -y default-jdk,apt-get
jdx,R CMD javareconf,R CMD
BCHM,apt-get install -y jags,apt-get
jsr223,apt-get install -y default-jdk,apt-get
jsr223,R CMD javareconf,R CMD
Rmixmod,apt-get install -y make,apt-get
units,apt-get install -y libudunits2-dev,apt-get
lwgeom,apt-get install -y libgeos-dev,apt-get
lwgeom,apt-get install -y libproj-dev,apt-get
jackalope,apt-get install -y make,apt-get
PythonInR,apt-get install -y python,apt-get
bfp,apt-get install -y make,apt-get
texreg,apt-get install -y texlive,apt-get
texreg,apt-get install -y pandoc,apt-get
OpenImageR,apt-get install -y libfftw3-dev,apt-get
OpenImageR,apt-get install -y libjpeg-dev,apt-get
OpenImageR,apt-get install -y libpng-dev,apt-get
RcppGSL,apt-get install -y libgsl0-dev,apt-get
RcppParallel,apt-get install -y make,apt-get
BayesGWQS,apt-get install -y jags,apt-get
pdfminer,apt-get install -y python,apt-get
drf,apt-get install -y make,apt-get
vapour,apt-get install -y libgdal-dev,apt-get
vapour,apt-get install -y gdal-bin,apt-get
